HPLT,M,J,ChatGPT,Claude,Copilot,Gemini,Grok,Percentage agreement,,CCMatrix,M,J,ChatGPT,Claude,Copilot,Gemini,Grok,Percentage agreement,,QED,M,J,ChatGPT,Claude,Copilot,Gemini,Grok,Percentage agreement
41,CC: natural language,CC: natural language,CC: natural language,CC: natural language,CC: natural language,CC: natural language,CC: natural language,1,,41,X: both correct languages,X: both correct languages,X: both correct languages,X: both correct languages,NL: Not a language,X: both correct languages,NL: Not a language,0.523809523809524,,41,CC: natural language,X: both correct languages,X: both correct languages,X: both correct languages,X: both correct languages,X: both correct languages,X: both correct languages,0.714285714285714
42,CC: natural language,CC: natural language,X: both correct languages,X: both correct languages,X: both correct languages,X: both correct languages,X: both correct languages,0.523809523809524,,42,X: both correct languages,X: both correct languages,X: both correct languages,X: both correct languages,NL: Not a language,X: both correct languages,NL: Not a language,0.523809523809524,,42,CC: natural language,CC: natural language,CB: boilerplate or low quality language,X: both correct languages,X: both correct languages,X: both correct languages,X: both correct languages,0.333333333333333
43,X: both correct languages,X: both correct languages,X: both correct languages,X: both correct languages,X: both correct languages,X: both correct languages,X: both correct languages,1,,43,X: both correct languages,X: both correct languages,X: both correct languages,X: both correct languages,NL: Not a language,X: both correct languages,NL: Not a language,0.523809523809524,,43,CC: natural language,CC: natural language,CB: boilerplate or low quality language,X: both correct languages,X: both correct languages,X: both correct languages,X: both correct languages,0.333333333333333
44,CC: natural language,CC: natural language,CC: natural language,CC: natural language,CC: natural language,CC: natural language,CC: natural language,1,,44,X: both correct languages,X: both correct languages,X: both correct languages,X: both correct languages,NL: Not a language,X: both correct languages,NL: Not a language,0.523809523809524,,44,CC: natural language,CC: natural language,CB: boilerplate or low quality language,X: both correct languages,X: both correct languages,X: both correct languages,X: both correct languages,0.333333333333333
45,X: both correct languages,CS: short,X: both correct languages,X: both correct languages,X: both correct languages,X: both correct languages,X: both correct languages,0.714285714285714,,45,X: both correct languages,X: both correct languages,X: both correct languages,X: both correct languages,X: both correct languages,X: both correct languages,X: both correct languages,1,,45,CC: natural language,WL: source or target incorrect language,X: both correct languages,X: both correct languages,X: both correct languages,X: both correct languages,X: both correct languages,0.476190476190476
46,X: both correct languages,CS: short,CB: boilerplate or low quality language,CB: boilerplate or low quality language,X: both correct languages,CS: short,CS: short,0.238095238095238,,46,X: both correct languages,X: both correct languages,X: both correct languages,X: both correct languages,NL: Not a language,X: both correct languages,NL: Not a language,0.523809523809524,,46,CC: natural language,X: both correct languages,X: both correct languages,CC: natural language,X: both correct languages,CC: natural language,X: both correct languages,0.428571428571429
47,CC: natural language,CC: natural language,CB: boilerplate or low quality language,CC: natural language,X: both correct languages,CC: natural language,CC: natural language,0.476190476190476,,47,X: both correct languages,X: both correct languages,X: both correct languages,X: both correct languages,NL: Not a language,X: both correct languages,NL: Not a language,0.523809523809524,,47,CC: natural language,CC: natural language,CB: boilerplate or low quality language,X: both correct languages,X: both correct languages,CC: natural language,X: both correct languages,0.285714285714286
48,CC: natural language,CC: natural language,CC: natural language,CC: natural language,CC: natural language,CC: natural language,CC: natural language,1,,48,X: both correct languages,X: both correct languages,X: both correct languages,X: both correct languages,NL: Not a language,X: both correct languages,NL: Not a language,0.523809523809524,,48,CC: natural language,CC: natural language,CC: natural language,CC: natural language,X: both correct languages,CC: natural language,X: both correct languages,0.523809523809524
49,CC: natural language,CC: natural language,CC: natural language,CC: natural language,CC: natural language,CC: natural language,CC: natural language,1,,49,X: both correct languages,X: both correct languages,X: both correct languages,X: both correct languages,NL: Not a language,X: both correct languages,NL: Not a language,0.523809523809524,,49,CS: short,CS: short,CC: natural language,CS: short,CS: short,CS: short,CS: short,0.714285714285714
50,CB: boilerplate or low quality language,CC: natural language,X: both correct languages,X: both correct languages,X: both correct languages,X: both correct languages,X: both correct languages,0.476190476190476,,50,X: both correct languages,X: both correct languages,X: both correct languages,X: both correct languages,NL: Not a language,X: both correct languages,NL: Not a language,0.523809523809524,,50,CC: natural language,CC: natural language,CB: boilerplate or low quality language,CC: natural language,X: both correct languages,CC: natural language,X: both correct languages,0.333333333333333
51,CC: natural language,CC: natural language,X: both correct languages,CC: natural language,X: both correct languages,CC: natural language,CC: natural language,0.523809523809524,,51,X: both correct languages,X: both correct languages,X: both correct languages,X: both correct languages,X: both correct languages,X: both correct languages,X: both correct languages,1,,51,CC: natural language,CC: natural language,X: both correct languages,X: both correct languages,X: both correct languages,X: both correct languages,X: both correct languages,0.523809523809524
